,0
Time Extraction,103164.34285714288
Acid,88541.48571428572
Fibre,3344.9142857143015
Ultra-sound,-25113.942857142858
Salt,-84303.42857142858
% Organic,66432.0
Organic Type,28553.828571428574
Volume Solvent,-45433.71428571429
Retroextraction Time,-40035.0857142857
Protectants,34172.9142857143
