,Captan mean,Captan st.dev,Terbutylazine mean,Terbutylazine st.dev,Metolachlor mean,Metolachlor st.dev
5A,143.45045838898906,1.4885677786635567,233.33427754350836,9.666449915371084,,
5B,149.90277639542072,0.9256846136461652,239.40172367597225,3.187973326436431,,
6A,129.85785642426055,1.00912287932919,211.44482452669376,5.94043291319353,1239.8100113681494,76.80110531202365
6B1para5,130.80082009354174,1.3892825056350366,215.1666214127541,8.860998054622902,744.5953265634089,45.44354758653639
6B,130.5527052177826,1.9498580106820749,725.9175477016428,2.8861102921562667,4323.779893136801,54.700619130323076
