Sample,Type,Ethyl Acetate,Ethyl isobutyrate,Ethyl butanoate,Ethyl lactate,"2,4-Dimethyl-1-heptene","1-Pentanol, 3-methyl-",Ethyl 2-methylbutanoate,Ethyl 3-methylbutanoate,3-Hexen-1-ol*,Ethylbenzene,Xylene,1-Hexanol,Isoamyl Acetate,"2-Heptanone, 6-methyl-",1-Ethoxypropan-2-yl acetate,Unknown,3-(Methylthio)-1-propanol,"3(2H)-Thiophenone, dihydro-2-methyl-","Benzene, 1,3,5-trimethyl-",Ethyl hexanoate,Hexyl acetate,Limonene,2-Ethylhexanol,Benzyl alcohol,Beta-Ocimene,2-Nonanone,1-Octanol,4-Methyl Benzaldehyde,Terpinolene,2-Butoxyethyl acetate,ethyl 3-(methylthio)-propanoate,Cosmene,Nerol Oxide,Unknown,Linalool,Diethyl Succinate,Ethyl n-octanoate,Decanal,Nerol,Unknown,Unknown,Ethyl phenylacetate,2-Phenethyl acetate,Vitispirane,Geraniol,Ethyl nonanoate,Tridecane,"Pentanoic acid, 2,2,4-trimethyl-3-hydroxy-, isobutyl ester",Ethyl decanoate,Unknown,ethyl-3-methylbutyl butanedioate,Isoamyl octanoate,Geranyl acetone,3-Ethyl-3-phenyl-1-pentene,Pentadecane,"2,4-Di-tert-butylphenol",Unknown,Dehydro-ar-himachalene,α-Calacorene,Ethyl dodecanoate,"Pentanoic acid, 2,2,4-trimethyl-3-carboxyisopropyl, isobutyl ester",α-Corocalene,Unknown,Unknown,Unknown,Heptadecane,Ethyl tetradecanoate,Nonadecane,Eicosane
M+B 1,MB,158701800.584543,1265106.02741533,29840669.248773,3053759.289265,439122.939456333,7164834.806386,1387586.82318467,2846632.52772833,3303233.16592767,3530858.67465333,19173898.1057007,48247455.2481053,915076632.328796,8463245.886424,16911923.7600987,4607989.65134467,1029031.4364,2174046.88980667,11523534.079287,298689365.863851,12255668.943463,10352121.7186357,1221301.23644,4101114.67849633,6327161.02547233,5371346.15116333,1291101.83065033,332689042.689935,3431443.73654167,214665708.156855,419918811.991762,1309107.546237,9977407.84810133,2437143.01102367,4011932.79745733,244685238.474661,1099224509.27368,243275.255676667,3104620.083406,3480948.31586233,2157888.50200967,2572830.02566133,585396134.95581,105825.218588,234570.616638,4791946.25372133,833103.509651667,4224783.02502833,441354466.172798,19546.9397976667,1332412.72219967,7568306.13824,517598.438290333,12371.9823156667,1008049.792423,130088979.578326,579573.215871333,113335.230598667,151901.431016667,3155894.45410733,1989701.053344,1835.29827866667,129153.329295333,4195042.265163,513124.305153333,787620.077633333,1600203.988317,204083.088234333,238439.942996
M+B 1.5,MB,169206200.141326,1371906.500183,31545802.7244033,2743895.884243,543054.733462,7073281.74684467,1531636.79046467,3143171.53032333,3096918.729092,3770000.62420833,20713378.1000493,47497204.5024033,976176757.902465,8575909.91698233,16260100.8829563,4258988.955424,868773.345946667,2097734.170088,10269957.7245553,339096778.928273,15110575.09851,9899228.12465167,1099452.29041133,3774347.71877233,6230668.992614,5479325.101445,1176871.62963733,298374459.655977,3074053.24044833,183864655.529661,390979801.879821,1185516.03309733,9961345.62377767,2308853.00112967,3418770.11507733,197691868.044266,1053296660.56765,182722.617145,2779881.518158,2594826.07878233,2831864.89800333,2373314.61770033,530961284.685398,105671.554112333,207550.059939333,4249798.50228367,974826.420449,3894052.144544,400004646.22695,10311.8410533333,1167885.93169933,6736562.48891167,485717.028984667,11652.861527,1216834.392468,116990572.60122,520380.313573333,90340.5003286667,124258.648927,2826978.69340167,1757970.81504733,3540.981574,109820.301109333,5851067.940239,435278.052681,842587.891498,1447306.28457433,150763.637744,155116.898759333
M+B 2,MB,176223666.69363,1378964.80422367,34554433.1813137,3673633.86876467,514180.131163333,9537455.607424,1509236.49249533,3156590.96105667,4414778.65931867,3664455.485393,20775850.3998377,59523075.0113483,1044655649.08975,10116234.052644,21161976.0166597,5656036.297245,1496829.302898,2478313.84058367,11638059.9798847,359806486.560595,16275378.306079,18068121.9876477,1790294.983097,6717643.37363367,11623813.3978163,6868405.457988,1774157.50954433,459674482.271722,8506967.99935033,249801987.969428,564162089.532055,3338307.093993,15013099.3365393,5056781.49825467,13030797.67961,284175955.271075,1203550776.38027,255375.936625333,5031472.72706967,7867005.46309467,5548280.630055,4097997.92036867,915507368.238445,226620.237528667,607265.681735,5982789.75296667,1373258.428979,6549582.08695034,406007850.385224,17956.465724,1877007.02138167,7463105.41001433,775979.167477333,18203.612513,1367594.67685667,164678153.483132,768614.539648334,243736.58641,233144.216859,3227917.41042933,2929009.93701667,2700.09773033333,110784.131520333,4498821.14591833,608391.182892667,1033177.506637,3231174.83376467,202682.393049333,171449.920761333
M Control,Control,197066241.183058,2378456.685651,50668460.281981,2348929.669287,618761.751298,5347581.737795,3643617.545322,7827770.268053,2309750.978621,3462287.684355,20226914.86349,32052394.54492,1749304167.20156,587725.377831,645364.829278,1866383.697471,932742.614746,1498488.036118,14449070.100956,1997501024.03139,192678088.881392,6050783.127891,559776.511878,2451517.202161,3590029.737605,1074540.655661,1022771.156931,32825002.03972,1311190.58983,9623898.165752,289209991.43347,401170.965119,32363961.044457,2032731.832785,13527909.150489,133439535.631289,2996760850.80411,96504.78338,1972120.690384,1142469.623596,543517.455282,2622545.101771,492269005.083091,519616.55585,1243448.531147,1370959.33038,1732800.822636,441810.095104,784485190.660439,51582.07064,1007033.272965,2690611.680578,460319.602267,7728.082383,879017.96902,15699367.229218,407938.616365,30585.295934,54258.244811,36350554.972621,112259.361064,12198.526394,166316.651582,709134.208196,1343299.333783,736313.146897,1278309.851519,255016.718269,267441.886989
M+P 0.5,MP,178456455.604546,1696685.50762275,40608362.409978,4892900.99179475,657569.9115755,11325867.9615808,2079801.03561725,4465104.99192075,5098741.87848525,3769623.5426745,21694399.8313257,66298705.5223837,1232134196.82272,6499660.5874475,13552337.5543983,4126966.576519,2509120.64923575,2653621.18897925,11436140.3732875,619094452.342581,35038441.2521967,26612416.3932415,4711814.43606,10632661.737651,16178004.6489645,5830938.52138475,2761017.2895,356051389.493332,18951746.083944,185743749.672717,607748560.672274,6675140.0870235,30459809.0474405,10454378.5332445,38960627.3995945,502705746.662263,1975677951.78907,535431.01388875,7250610.54265425,13388745.1439335,4593786.57186425,6542415.007574,1206936595.1019,681389.29426875,1555424.562936,31941860.0923297,5328174.22896375,8968981.147238,734204180.939826,253853.307173,3623210.178029,12197013.052378,929295.25324875,3372038.19567325,1943710.1910315,164169868.927832,16637553.545667,8937757.9493415,10206966.7501558,5276265.63360475,12286959.568617,491468.69777125,183472.71872125,1899693.0220775,2529701.78653175,1429556.382556,3857936.01541375,264594.1509665,245301.0095305
M+P 1,MP,203615931.993633,1938189.361777,41986703.149711,4783228.14078267,1055807.60856767,12928440.1759793,2172833.91987133,4541770.04297333,5944890.203937,4417139.51096967,23416349.731734,77889202.3698963,1129829778.55784,8402468.370994,19624857.296727,5221412.04008133,1951596.76304933,2747014.736356,9462284.611167,501632136.651902,24375425.9498373,26564036.7440773,5494425.75902567,8431279.430564,15799697.9212687,5853157.67706033,2617961.43612833,420303906.952544,19066547.0307523,217852956.868874,581363399.204051,6618897.33997467,26345421.020401,7078826.49633433,31612735.8846633,433492367.69644,1530913343.84045,396033.080338333,5588739.74771933,12217433.204428,7644346.50551967,5480433.410032,1027238752.64863,706106.326849,1497008.53144367,23591679.118929,3435842.12135733,6724955.61258333,489046111.354941,232677.006984,2734725.98550133,7879692.85716967,760392.021358333,2673835.076859,1309958.986407,143173356.514381,12709162.9868617,5884699.70513367,7140011.85698267,3259145.83962667,9889955.19279733,366261.302428333,111238.69491,1510865.877494,3906864.738954,1285468.28593367,1442196.48164167,253254.936928333,247117.872973
M+P 1.5,MP,160201667.804043,1207902.185745,27416121.1468323,4957195.10238733,845487.544036667,11229868.365285,1242597.41805467,2510605.69429533,5316998.10465267,4222260.36193933,23422858.927427,69299587.591122,764352002.768136,13582245.9454127,29094688.4412553,7756810.71221233,2207829.95858267,2467593.32291733,12927761.537807,266029446.289663,6873522.52637567,23133228.6850463,7216264.680528,10795975.5672513,13764664.9489947,8095488.73078067,2656117.595781,602015814.871528,11625093.2421207,344256919.242769,556754533.226508,5855975.73534833,13933306.3805097,10363802.9336717,18528231.3227033,528707738.28045,1581842177.55247,691179.724979667,6006270.38236267,11978631.7113267,11894395.3232813,4678203.72007433,872164771.831569,401515.684364333,896136.857225667,52217072.0851993,3875559.18239767,13850481.3233727,661184399.66336,279267.333378667,3091869.083257,16642501.6416603,1079338.21384,2106680.205767,1832038.519665,227445255.984154,29879958.9708293,10740655.8826867,13101583.216494,6984318.62787867,13203465.1643633,557466.408123667,199464.387261667,1644489.39297567,1801549.498261,1449835.98375367,2797989.71807233,259269.443560667,257745.250565667
M+P 2,MP,182225933.440618,1299495.076283,29318723.8657005,4826741.4577235,1019076.5840005,13339425.7885435,1354462.384952,2707310.0264465,6155948.2839205,4821833.6655425,26615159.9425385,82899206.754429,719474578.605391,14379773.758863,32200465.9594,9190913.1571255,3454018.740735,2662516.9815285,12732151.2393675,273408765.608411,9180351.610377,24321579.03315,8361265.757142,11815892.548946,14748851.6918595,8012495.5016235,2758657.014951,656898771.4348,16619761.9530895,372469759.77387,560690766.322391,8291770.9289545,15397785.009239,14804065.833821,29039740.837261,521372446.851106,1812449788.4024,727398.7999805,6110756.6412245,14650034.151733,12661526.206837,4753488.662184,880499396.767156,648015.820213,1359980.729803,75352107.323698,6427893.885006,17136473.692619,790964057.626926,457599.927657,3278501.6542555,20911558.52559,1145000.4421395,2415991.1292595,1422875.1617385,275234979.767012,49633420.4401545,15113635.80383,17780578.8559195,11069436.533995,17889017.6746275,965725.659151,252955.9524605,1077162.846889,2801935.5611235,1138907.2764775,2379782.178969,207176.564361,189186.043159
E+B 0.5,EB,147898442.062438,2761761.25030867,30555812.5858517,3162881.628314,827777.407270667,9926936.08422367,4608895.51327667,10962736.6631387,30289.2442333333,4814020.93818933,26144876.9456007,42475090.012058,552620833.859036,6986457.82952733,9637055.74165167,4156141.66682433,994543.646949,3277559.08435333,5431684.533284,480155601.808656,10720867.5645717,477041.157121,1052709.581662,1378552.01349033,33399.62188,5258438.00688467,983322.679755667,220555213.139656,69711.533034,131369859.558576,1952990.905949,15841.2214,110431.493681333,22155.1262713333,53976.122102,258889112.050981,708290107.623879,182304.964213,51604.09335,36033.720719,2237830.30267067,4097995.33512767,131257677.07196,152411.827255,11471.0646463333,2431433.78655467,1017437.82711433,4227801.696994,415476735.731207,17538.709614,1412328.90255867,5149467.48022833,418169.045180667,21789.3400023333,1006815.92605967,115443963.337158,616090.511491,192186.256109,120778.616593667,9834765.521398,1849496.32609,2227.446938,198426.190371,3859287.68620333,433740.345886333,871453.716886333,2491156.75915367,186294.214914333,140094.049626667
E+B 1,EB,132765397.297855,2452436.01041333,27904961.3253397,3729029.94245833,600270.358702333,11380202.1987953,4052233.31430833,9617805.19731967,25205.7172756667,3529149.73478067,19885246.7113823,48439618.1083693,505795600.066548,7777268.74257867,11790318.743522,4876438.918951,1131564.99645767,3257380.08929767,9006075.81159967,449511239.099646,9560179.62881833,593643.146136,1253204.05470167,1942456.75131133,63046.841526,5190071.23426367,1172866.983138,277205335.798786,87064.295079,189678490.621142,2574175.27069267,20178.62684,145939.755174667,30439.5889116667,27573.5713406667,412711848.732744,851566546.323658,227836.396611667,68952.616682,56336.6157946667,3408530.90413667,6348224.23482267,199095039.957501,303111.13379,17803.4621823333,4185130.966889,1015032.325625,6356367.01318867,503574028.333268,10221.957607,2365274.56178367,6076657.65091333,779691.437639333,24082.7071566667,1065522.57226033,168688231.071419,858699.159082333,339019.286502,142128.651979333,7529851.41965267,2274019.80931133,6716.25959866667,220651.192510333,4603980.317929,462223.650721,835440.261263333,3063095.88380433,124643.387713333,94641.7340463333
