Sample,Type,Response1,Response2,Response3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,70,71
V+B 0.5,VB,1,0,0,181003718.018761,2857882.66824567,10858065.705655,2758317.244748,900772.964348667,2074222.89691567,3829991.75244533,5279495.536833,194976.375027333,4386084.318932,23417711.5983083,37603223.995743,281004247.367026,5758349.78818767,8578090.02509367,2670394.76876267,1540550.79368967,1796047.30432567,11453472.561385,138169461.239622,5258631.20185867,1828837.86003367,718535.792841,1536180.52963933,13088.0338076667,3811419.696513,652485.463936,165742844.842763,67613.9762666667,90500339.2079807,3034111.98822133,45090.5310376667,371719.922302,84755.2730513333,33169.7256586667,227058830.458166,266135600.136722,125900.189538667,43833.1180026667,76098.922645,2483827.60081667,2260593.098545,143113560.17193,58519.6144963333,2440.174036,1030902.94486833,1583097.475124,2228214.75573767,159671525.976283,6363.68838333333,861153.38615,980645.629314667,229957.561993333,3857.224069,10477363.9566883,61098128.993765,272677.217177,27362.9466763333,46680.1157276667,2221109.714621,1128155.167623,2181.19195933333,61830.490409,261772.617277333,1000314.972566,38729287.4566833,2537115.153586,17511475.359069,31269349.4718577
V+B 1,VB,1,0,0,160745467.424622,2698131.07488433,10162106.251588,2899327.17447367,723479.289969333,2043424.93941633,3651906.988836,5126051.126192,191295.008053333,4313519.254767,23852117.6465177,38743967.484222,283864593.709771,6273942.02471733,8743861.46627,2880090.48427067,1992101.54682233,1871730.57624233,11773591.0569977,152333623.648794,6001071.28707667,900637.657967333,769569.304533333,1904226.911797,25545.9217213333,3978314.73863733,675931.823803334,214741457.82069,59121.1309363333,118885755.189559,3753222.419012,30658.4486753333,421758.110301333,120358.892666,43811.1557436667,315817877.27951,389957465.143516,95326.5784593333,65085.4155893333,124221.668789667,2484494.80808467,3157650.36232333,209464244.494352,119689.306514667,5252.87487066667,1388998.744061,1014044.17243367,2668207.04312433,260680414.782544,6924.47534166667,1179230.05262333,1562634.062083,261003.214707,3185.77089433333,3327154.990106,69441970.306431,359157.529952667,73568.897847,84829.3295856667,2402663.65058433,1041990.67786633,2645.24263133333,90850.2928513333,3826352.95058933,1360223.838198,9441906.98777867,3317645.896099,5241484.502809,10707767.164217
V+B 1.5,VB,1,0,0,207744947.782094,3374380.054659,13138323.8324613,4542863.676216,970232.608145333,3070637.709308,4439449.457802,6240479.66039633,305027.294065333,4550260.86372467,25896938.1993033,55707033.1995283,309245385.654204,7020543.322208,14111181.3205857,4310756.576486,3516340.45498967,2193810.40061267,11781273.7311563,171635142.50971,5745864.88745067,844103.160787333,1054134.87560233,3080633.30680367,64131.0673066667,4654945.29086333,921553.831443334,286573718.32654,187011.814427667,193588713.788092,6164919.430379,53124.4907893333,586731.579875333,139391.435226,229413.857680333,460618217.849987,492624057.574779,110859.779775333,93925.1043436667,283116.000482,4061008.14611133,4957944.61236933,314596971.13017,365718.186043333,10628.1457113333,1850037.99123867,1477730.299511,4235554.97748,242237322.46575,10008.2539863333,1726538.750481,1529499.38311033,390985.579655333,3790.65797766667,2205749.99005433,83743826.344937,606580.339661667,213082.855511,134548.217757333,1829788.78647133,1528991.89110367,5257.13501366667,65613.2591173333,4036150.521043,1521227.23791733,4042632.71975033,2327634.150002,2391154.67340867,4886302.32426
V+B 2,VB,1,0,0,222956924.023879,3742948.18409267,14431196.21412,4913671.12513167,934419.851507333,3564713.09200067,5186678.84787967,7268475.33554033,365650.582648,4369330.20988233,25039237.2677267,64733188.148861,336141709.694577,5889343.35409333,14559796.8549423,4654667.27495067,3570892.988679,2422414.66820733,10584485.2255687,200177935.531685,6572898.62930533,925839.626695333,1229455.84721067,3458256.48036067,122086.754969333,5152957.096141,1081776.63167933,322613968.707523,313440.847542667,225749923.697963,7639631.63011767,73267.8882493334,769896.23384,129328.399998667,401842.972602333,509193911.518588,591945704.43799,115406.825458667,116851.949259333,380314.487929667,5911871.16812133,6657612.46917833,403038659.908806,668864.197097333,20497.545054,2918500.50186633,1234904.50209267,4573126.81290433,311782700.450357,7433.72064833333,2184892.919142,2008229.266286,629770.896600667,6033.538349,2115223.629089,92900072.8625947,593699.148217,289580.462402,179792.337242333,2415291.31932933,1886827.17991033,4882.98844233333,86043.8690403333,3614057.97042,2260001.35536267,2757975.055854,2332519.15147833,1266462.74310433,2599434.256503
V Control,Control,0,0,0,278278173.556222,7848182.405998,27791827.091047,4394919.425673,820724.694905,3983321.769857,13784347.567213,19979899.859765,292990.159539,3933950.086924,26209777.883924,67250277.790608,770080696.769097,528162.141472,1029681.846442,1966461.256495,4543243.074113,2423442.0645,3491602.4177,1380565813.85671,94474485.048673,4035408.711305,1732909.041902,3681161.635603,236574.505125,885076.98769,1199038.512787,35592482.834166,856071.464035,18215423.465686,6721949.382185,152604.645143,2192320.814479,181264.578595,1537694.404277,792995379.243996,2890783422.09766,84138.727763,236804.001614,435992.538501,468121.04318,11711300.972831,654874294.710251,3121576.90245,75389.697098,4761054.477668,3798245.334765,90749.281367,1093487616.68914,9168.73331,4674237.30179,3892297.450341,434732.422225,4899.011601,3310474.062302,32885158.881759,1273.937171,13905.919577,42230.837491,142371052.021459,12865.877628,6915.294616,333251.517288,508801.084462,1291486.984823,2195898.246201,4732288.512415,714461.69746,1267512.42417
M+B 0.5,MB,0,1,0,165696734.372592,970023.954325667,28822839.106145,2078075.10329133,551240.723017,5857682.23902033,1019302.40307933,2097685.41215,2608270.24977833,3453563.35357867,17941483.542811,39666256.9665557,959259943.519415,8449933.78254934,13432574.4492107,3726120.25669533,673809.709323,2102742.20200533,9437568.957947,262901150.546086,11534359.2600967,5561114.62623833,1173473.327738,2884466.32676167,3542048.83475833,4496987.2008,854286.432676333,243214553.890135,1312147.06094067,120403207.267659,307980159.337791,525731.648972333,5364405.34195867,1704617.66225167,1165088.00643167,108999702.758527,923065799.091664,223360.759969,1936695.29263333,1464608.888366,1808382.57023133,1227589.75970367,365447019.308197,45546.3387673333,93505.7502063333,3834671.89390167,874776.939867667,3163221.63509967,256714415.013887,18106.293697,614336.788635667,4877710.056282,343379.005107333,10256.3593583333,778983.239680667,78378083.5437657,420552.022689333,42536.905858,68058.7925053333,3350394.650489,1202469.90430667,1107.136284,77878.9903843333,4811377.44165067,414199.76734,551817.274248667,2551393.282671,133553.584584333,121269.605554
M+B 1,MB,0,1,0,158701800.584543,1265106.02741533,29840669.248773,3053759.289265,439122.939456333,7164834.806386,1387586.82318467,2846632.52772833,3303233.16592767,3530858.67465333,19173898.1057007,48247455.2481053,915076632.328796,8463245.886424,16911923.7600987,4607989.65134467,1029031.4364,2174046.88980667,11523534.079287,298689365.863851,12255668.943463,10352121.7186357,1221301.23644,4101114.67849633,6327161.02547233,5371346.15116333,1291101.83065033,332689042.689935,3431443.73654167,214665708.156855,419918811.991762,1309107.546237,9977407.84810133,2437143.01102367,4011932.79745733,244685238.474661,1099224509.27368,243275.255676667,3104620.083406,3480948.31586233,2157888.50200967,2572830.02566133,585396134.95581,105825.218588,234570.616638,4791946.25372133,833103.509651667,4224783.02502833,441354466.172798,19546.9397976667,1332412.72219967,7568306.13824,517598.438290333,12371.9823156667,1008049.792423,130088979.578326,579573.215871333,113335.230598667,151901.431016667,3155894.45410733,1989701.053344,1835.29827866667,129153.329295333,4195042.265163,513124.305153333,787620.077633333,1600203.988317,204083.088234333,238439.942996
M+B 1.5,MB,0,1,0,169206200.141326,1371906.500183,31545802.7244033,2743895.884243,543054.733462,7073281.74684467,1531636.79046467,3143171.53032333,3096918.729092,3770000.62420833,20713378.1000493,47497204.5024033,976176757.902465,8575909.91698233,16260100.8829563,4258988.955424,868773.345946667,2097734.170088,10269957.7245553,339096778.928273,15110575.09851,9899228.12465167,1099452.29041133,3774347.71877233,6230668.992614,5479325.101445,1176871.62963733,298374459.655977,3074053.24044833,183864655.529661,390979801.879821,1185516.03309733,9961345.62377767,2308853.00112967,3418770.11507733,197691868.044266,1053296660.56765,182722.617145,2779881.518158,2594826.07878233,2831864.89800333,2373314.61770033,530961284.685398,105671.554112333,207550.059939333,4249798.50228367,974826.420449,3894052.144544,400004646.22695,10311.8410533333,1167885.93169933,6736562.48891167,485717.028984667,11652.861527,1216834.392468,116990572.60122,520380.313573333,90340.5003286667,124258.648927,2826978.69340167,1757970.81504733,3540.981574,109820.301109333,5851067.940239,435278.052681,842587.891498,1447306.28457433,150763.637744,155116.898759333
M+B 2,MB,0,1,0,176223666.69363,1378964.80422367,34554433.1813137,3673633.86876467,514180.131163333,9537455.607424,1509236.49249533,3156590.96105667,4414778.65931867,3664455.485393,20775850.3998377,59523075.0113483,1044655649.08975,10116234.052644,21161976.0166597,5656036.297245,1496829.302898,2478313.84058367,11638059.9798847,359806486.560595,16275378.306079,18068121.9876477,1790294.983097,6717643.37363367,11623813.3978163,6868405.457988,1774157.50954433,459674482.271722,8506967.99935033,249801987.969428,564162089.532055,3338307.093993,15013099.3365393,5056781.49825467,13030797.67961,284175955.271075,1203550776.38027,255375.936625333,5031472.72706967,7867005.46309467,5548280.630055,4097997.92036867,915507368.238445,226620.237528667,607265.681735,5982789.75296667,1373258.428979,6549582.08695034,406007850.385224,17956.465724,1877007.02138167,7463105.41001433,775979.167477333,18203.612513,1367594.67685667,164678153.483132,768614.539648334,243736.58641,233144.216859,3227917.41042933,2929009.93701667,2700.09773033333,110784.131520333,4498821.14591833,608391.182892667,1033177.506637,3231174.83376467,202682.393049333,171449.920761333
